"
thanks
"
"
I want a tutor for OS and ADA if anyone know a good tutor plss msg me as soon as possible thnks
"
"
Plz send your ch = 2 video
"
"
You are a best teacher of computer
"
"
Awesome Bro! You helped me alot in my studies.
"
"
""thanks, sir you are the best you helped me a lot in computer arch. and organization and this topic too""
"
"
""Congratulations Varun sir, I just watched that this video got 1M+ views, really thankful to you for helping me since 2nd year till 4th year of my college.""
"
"
Your teaching is awesome sir love your content and very thankyou for this amazing series👍
"
"
Sir tusse great ho
"
"
""too easy to learn Sir, Sir upload c c++ lectures or try to start by yourself . your body language and instrucys with best way.""
"
"
""Thank you sir, radhe radhe""
"
"
such a helpful  video.
"
"
""Good teaching
This vedio Cleared  the concept of OP just before night exam""
"
"
Thanks for subtitles bro 🤩lots of love from Andhra 😍😍
"
"
Does any one have any notes made please share
"
"
Thank You Sir 👍💯🙏
"
"
thanks for the subtitles. lots of love from kerala
"
"
Kindly pinned it to help students to get short hand made notes of your channel
"
"
what is efs please make video
"
"
Sir ji BCA 4th Sem ke  notes provide kr doh  ge easy language mein ji
"
"
can u please suggest any good book of operating system ??
"
"
""I have exams on the 28th, this is very helpful. Thank you friend""
"
"
very very good explanation sir
"
"
Thank you sir
"
"
""Do you want to print ka option nhi aata😀

Thank u sir itni sahi playlist le liye😍""
"
"
Awesome keep it up
"
"
Sir are you married?😇
"
"
thank you sir for this video it helped me alot.
"
"
Nice
"
"
I  ❤️ U    sir aap ni hote to hmara concept clear hi na hota...
"
"
""Thanku so much sir🧡
You explaining very well 🙏❤""
"
"
Thank you sir.. :)
"
"
Sir your teaching skills are amazing.
"
"
Thanks for sharing ur knowledge with us 🥰🤗 and nice explanation 🥰🤗
"
"
Thanks sir
"
"
""Hello sir! I Just found your channel today and you explain really well sir! Next month is my 12th boards and this video is really helpful! 
Thank you,""
"
"
U r the best sir os i s very complex topic  but when sir u explain it its like learning abcd
"
"
Thanks sir 🙂✨
"
"
Sir your teaching mathod great 👍👍 and easy to understand
"
"
This video helped me lot thanks sir  very much kal ko mera paper ha🙂🙂🙂🙂
"
"
Bhai ye mai hun aur ye aapka video hai and kal mera exam hai and is video ne meri bohot help ki hai😅
"
"
Your vedios are very helpful sir tnk u sir🙏🙏
"
"
Thank you so much tapaiharo Le garda nai hamile mobile bata pani padna payeka xau thank you so much 😌😌😌
"
"
Very useful video sir☺☺
"
"
""Sir , ap bohoth awesome teach karte hai, ap ke jaaise padhane vale teacher nahi mela hum ku, Thank u so much for such a clear Crystal explanation""
"
"
best video 👌👌👌👌
"
"
Great teacher🙏
"
"
Thanks for providing such a great vision on different topics
"
"
""Love you Bro ❤️, you are doing a great Job .. You make study easy for us.""
"
"
Your explain quality very nice sir and also make video on mobile operating system 😰
"
"
Sir it is very helpful for me to revise my topics before my university exam.. thank u for this video. Please try to upload videos for DBMS
"
"
Great keep going
"
"
Nice
"
"
Tq so much sir u really explained very well
"
"
""Sir plz define difference between channel capacity vs bandwidth
baudrate""
"
"
MaShaALLAH brother .. u explained so well
"
"
Thankyou sir 💖💖💖
"
"
Very nice explain you  it's very helpful thaks a lots of
"
"
Thanks a lot it was very easy to understand
"
"
""Thank youuu so much sir🙏🙏🙏
Best explanation..""
"
"
so simple and bestest explaination ever of each topic till depth......i started this course today and i thik i chose the best😄 thank u so much sir
"
"
Sir very good. exams blkul qareeb h mgr mjae koi tyaari nhi bcz teacher ny hmae kuch btaya hi nhi
"
"
Good one
"
"
Thanku sir for all your help... 🙏
"
"
""Thank you Sir!
Helped me with my GATE preparations!""
"
"
Please make a video on middleware.. Much needed. Thanks🙏🙏🙏
"
"
Best lecture 🖤👌.....Thank u soo much sir.... ❣️
"
"
Sir u explain very nicely
"
"
Thnkuu sir ache se smj aara h 👌
"
"
Sir u r great teacher 😍
"
"
Thanku sir you made this topic very understandable and easy👍
"
"
thank you very much sir from lpu !! love the video !! keep it up
"
"
Wow too good nice explanation ☺️☺️☺️ loved it 💓💓💓
"
"
Can you please speak English?
"
"
Thank you
"
"
This video is very useful sir. Thank you so much😊.
"
"
Way of explanation is amazing thank u so much sir
"
"
Thnku sir so much 🤗🤗🤗
"
"
Thanks and great respect from Pakistan Sir .
"
"
Sir Qbasic ka v videos banaye hame bahut sahyog milega please please
"
"
Thank You Sir
"
"
Thankuu sir for this lact...☺️☺️🙏
"
"
Nice explanation ❤️ good job ❤️
"
"
Best video
"
"
Thank you sir ... Your videos are very helpful for us...tysm
"
"
excellent explaination☺
"
"
You are Great 👌  Sir....Love From Pak💥
"
"
mesiiah againnnnnnnnn . are you messiah-man like super man.
"
"
Thank you so much sir
"
"
Thank you sir
"
"
Niether English subtitles nor language in English keeps large number of people away from this series.
"
"
I recommend your channel to all my mates because of the way you explain and clear the topic.
"
"
""Really lucky to crossed this channel on YouTube. Not preparing for gate still your content helped me alot in os subject.
Thank-you sir.""
"
"
Great job sir ..😊thnks
"
"
Good video
"
"
Sir thank you a lot 😊 tomorrow was my exam and this video helps me a lot 😊😃
"
"
A good informative lecture sir..
"
"
Great teacher start with out cheating
"
"
""Love u bhhiya ❤thanxx this, is really good❤""
"
"
Thank you for valuable information regarding OS
"
"
Sar aap etna pasina kyon aata ha😁
"
"
😊
"
"
Thanks 🤩
"
"
thank u so much..
"
"
Nice video thanx sir
"
"
good one.
"
"
Nice lecture 😊😊😊
"
"
💜🧡💙❤️💙❤️
"
"
Thanks of lot sir
"
"
Amazing lec
"
"
Thanks sir
"
"
Thank you sir 🙏🙏🙏🙏
"
"
Tq sir mari Ai2 video se bht lav ho roha ha
"
"
Well
"
"
It's very helpful
"
"
That's good
"
"
You were awesome sir🙌 thank you❤😇
"
"
""Sir please make lot of video related to bsc it topic O.S, I.P, DE, DM, your video is totally so appreciatable....jay hind sir salute you from IAS assistants.""
"
"
thank you sir...full experienced performance
"
"
Thanks sir
"
"
Thanks bro
"
"
You are amazing sir
"
"
Thanks sir for your help &✓™ explanation
"
